"Sales Growth Report","Sales Growth Report"
"Order Statuses","Order Statuses"
"Comma-separated list of order statuses to include (e.g., processing, complete)","Comma-separated list of order statuses to include (e.g., processing, complete)"
"Top Selling Products","Top Selling Products"
"Units Sold","Units Sold"
"Sales","Sales"
"Sales by Country","Sales by Country"
"Sales","Sales"
"High","High"
"Low","Low"
"Sales by Category","Sales by Category"
"Total","Total"
"Monthly Sales Growth","Monthly Sales Growth"
"Sales","Sales"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"
"Always","Always"
"Hourly","Hourly"
"Daily","Daily"
"Weekly","Weekly"
"Monthly","Monthly"
"Yearly","Yearly"
