"Sales Growth Report","Rapport de croissance des ventes"
"Order Statuses","Statuts de commande"
"Comma-separated list of order statuses to include (e.g., processing, complete)","Liste des statuts de commande à inclure, séparés par des virgules (ex : processing, complete)"
"Top Selling Products","Produits les plus vendus"
"Units Sold","Unités vendues"
"Sales","Ventes"
"Sales by Country","Ventes par pays"
"Sales","Ventes"
"High","Haut"
"Low","Bas"
"Sales by Category","Ventes par catégorie"
"Total","Total"
"Monthly Sales Growth","Croissance mensuelle des ventes"
"Sales","Ventes"
"Jan","Janv"
"Feb","Févr"
"Mar","Mars"
"Apr","Avr"
"May","Mai"
"Jun","Juin"
"Jul","Juil"
"Aug","Août"
"Sep","Sept"
"Oct","Oct"
"Nov","Nov"
"Dec","Déc"
"Always","Toujours"
"Hourly","Toutes les heures"
"Daily","Quotidien"
"Weekly","Hebdomadaire"
"Monthly","Mensuel"
"Yearly","Annuel"
"Advanced Reports","Rapports avancés"
"Sales By Customer","Sales By Customer"
"Sales By Product","Ventes par client"
"View Category Tree","Voir l'arborescence des catégories"
"ID","ID"
"Name","Nom"
"Total Sales","Ventes totales"
"Customer ID","ID Client"
"First Name","Prénom"
"Last Name","Nom de famille"
"Email","E-mail"
